barcode_id,type
770120268752,1
358333379049,1
937559529396,1
107212635637,2
971119624878,1
926436252821,1
633079882423,0
896487289019,2
912107442862,1
576495268220,0
375568533015,2
426500104656,1
709951682292,0
665274286829,2
245059657935,2
152469089209,0
130020058786,1
978545920458,0
491311761552,1
635216840226,0
851748880003,2
820547935564,2
848890412502,2
594042777295,2
550541132700,0
829486478374,0
881570282849,0
423673600465,0
934507066700,1
606862300097,2
447541136031,2
573185190036,1
891852316752,1
625083433797,1
331093172625,2
902169218731,0
658448257898,1
221827848655,0
892850381202,1
918408598751,0
587258081023,0
599930837316,1
516614775700,2
543579234136,2
875991033910,1
854174761403,0
626218306726,1
570088202255,2
736674144603,2
780183871343,0
335681088899,2
547180537256,0
880128002268,1
694263179349,2
872562857602,0
677399750546,0
885568292678,1
179500570498,0
756449691369,0
710465492128,2
865680702865,1
666989157605,0
788517520072,1
782323499348,2
155588383400,1
643989394629,2
637591402851,2
427062399907,2
411041248372,1
887631032509,2
125242066686,0
966596185396,2
340796391451,2
900931643005,2
313973082007,2
191213461863,0
978221793171,2
654396026652,2
167847115835,2
469643889451,0
350589414789,2
648154354273,2
647148107320,1
830463679562,2
541972323445,2
121068504563,1
939055877868,1
937705547470,0
250863375502,1
501891946593,2
253856370302,0
923654389043,2
926808671623,1
720599611823,0
660042654207,0
600536606293,0
958942220795,1
841271414479,1
674693249169,1
913280742473,2
474701921195,1
524441771090,0
212160277971,1
870963742606,1
506918431375,1
902051270655,2
762980302331,0
628427100940,2
718156571497,2
941843757662,2
298770311741,2
241026772873,1
215690499225,0
593324570869,0
983065380373,1
438690124938,2
906368866010,1
301366782699,2
766358255315,0
399913018105,2
146306262351,2
808745119398,0
479439640178,0
579114458922,2
589234790914,1
426639944093,1
467245575014,2
329958531430,0
265830562627,0
889519217326,0
844137527125,2
380312301475,1
615516683259,2
653817161430,1
842350728658,2
281447177353,1
181585349467,2
173174929085,0
114410816459,1
842116554371,1
771011267808,2
519990429121,1
121398731519,1
906370777397,0
342707456840,1
231060490610,1
142033101348,1
865172771988,0
185858947551,0
444258699694,1
963702427120,1
407434873702,2
557563108676,2
404465106589,2
509761487375,1
936916337355,1
930884997543,2
947435815228,1
905621395776,0
738353823989,0
821765144132,1
379008616725,1
495624919823,1
574977239524,2
723894066423,2
206845489598,2
894058229866,0
126518143269,2
717789415481,1
800268568173,1
551165865329,0
923944204706,1
263968104056,0
217121245604,0
750751023403,2
921067397353,2
239654203565,1
434734757948,2
962890144571,0
685772685028,0
945708463774,1
710773695410,0
382555983346,1
510020363024,2
270868801234,2
559641681963,2
526809060192,2
110085095880,1
186991459358,0
891180154393,1
123776118278,0
617602802172,2
199487209394,2
132066351924,2
281951768822,2
420509374790,0
166919896432,1
869880047882,0
941423959879,2
812333306781,0
280576269866,2
323643282667,1
